Source;Target;Weight
@janetsanz;@carolainrc;118
@DavictusCat;@AdaColau;171
@jcanadellb;@DavictusCat;54
@jcanadellb;@Moragasanti;51
@jcanadellb;@jpuigcorbe;57
@jcanadellb;@CCatalaNegocis;51
@jcanadellb;@alb_macviv;57
@DavictusCat;@Moragasanti;52
@DavictusCat;@Laksmiz;51
@DavictusCat;@tonialba;53
@DavictusCat;@jpuigcorbe;55
@DavictusCat;@CCatalaNegocis;51
@DavictusCat;@alb_macviv;52
@AdaColau;@Moragasanti;55
@AdaColau;@jpuigcorbe;82
@AdaColau;@CCatalaNegocis;54
@AdaColau;@alb_macviv;59
@Moragasanti;@Laksmiz;54
@Moragasanti;@tonialba;55
@Moragasanti;@jpuigcorbe;54
@Moragasanti;@CCatalaNegocis;54
@Moragasanti;@alb_macviv;51
@Laksmiz;@jpuigcorbe;53
@Laksmiz;@CCatalaNegocis;53
@Laksmiz;@alb_macviv;50
@tonialba;@jpuigcorbe;71
@tonialba;@CCatalaNegocis;54
@tonialba;@alb_macviv;52
@jpuigcorbe;@CCatalaNegocis;54
@jpuigcorbe;@alb_macviv;57
@CCatalaNegocis;@alb_macviv;51
@egel71;@AdaColau;164
@ErcSantsMon;@AlfredBosch;51
@bcnencomu;@CUPBarcelona;55
@Rocsalafaixa;@AdaColau;63
@albertsc79;@bcnencomu;83
@Cs_Sants;@CarinaMejias;50
@Gisebcn;@xaviertrias;61
@CarinaMejias;@pacosierral;320
@jpuigcorbe;@junqueras;129
@M_BrokenLeg;@AdaColau;53
