Source;Target;Weight
@janetsanz;@icveuiabcn;29
@undelgrau;@csenmoviment;30
@undelgrau;@bcnencomu;13
@csenmoviment;@bcnencomu;50
@csenmoviment;@ahoramadrid;16
@csenmoviment;@adacolau;24
@jordiperis2015;@adacolau;33
@simongorjeos;@capgirembcn;174
@icvgracia;@gemmalienas;24
@icvgracia;@bcnencomu;32
@gemmalienas;@bcnencomu;25
@pah_bcn;@500x20;45
@pconstituentbcn;@adacolau;173
@ocmbcn;@bcn_ajuntament;14
@500x20;@xaviertrias;64
@iniciativabcn;@xaviertrias;38
@xaviertrias;@via;10
@xaviertrias;@elpaiscatalunya;10
@via;@elpaiscatalunya;10
@soccatllib;@alfredbosch;49
@soccatllib;@toni_comin;18
@alfredbosch;@toni_comin;57
@icveuia;@pconstituent;133
@icveuia;@partit_pirata;11
@icveuia;@podemlametlla;10
@pconstituent;@partit_pirata;10
@pconstituent;@podemlametlla;10
@partit_pirata;@podemlametlla;10
@uniobcn;@gardanuy_bcn;30
@carmenandres_;@xaviertrias;78
@pscbarcelona;@carmenandres_;422
@albertofdezxbcn;@larazon_es;66
@ocmbcn;@capgirembcn;10
@ocmbcn;@bcnencomu;10
@bcn_ajuntament;@capgirembcn;22
@bcn_ajuntament;@bcnencomu;53
@capgirembcn;@bcnencomu;92
@ejanet15;@xaviertrias;11
@cupbarcelona;@mjlecha;65
@cupbarcelona;@xaviertrias;376
@capgirembcn;@mjlecha;161
@capgirembcn;@xaviertrias;129
@mjlecha;@xaviertrias;61
@simongorjeos;@mjlecha;60
@mjlecha;@huelgatot;11
@fmarcalvaro;@a;20
@lenina0806;@ocmbcn;17
@fmarcalvaro;@adacolau;124
@pscsarria;@jaumecollboni;46
@pscsarria;@carmenandres_;15
@pscnoubarris;@sanchezcastejon;64
@pscnoubarris;@jaumecollboni;75
@pscnoubarris;@carmenandres_;69
@sanchezcastejon;@carmenandres_;358
@capgirembcn;@cupnacional;48
@putasindignadas;@xaviertrias;249
@bcnencomu;@liniaxarxa;11
@adacolau;@liniaxarxa;14
@santsmontencomu;@santsencomu;13
@santsmontencomu;@lamarinaencomu;44
@poblesecencomu;@santsencomu;11
@poblesecencomu;@lamarinaencomu;11
@santsencomu;@lamarinaencomu;15
@daniserrano2015;@ppcatalunya;10
@daniserrano2015;@ppbarcelona_;14
@ppcatalunya;@alexborras;12
@ppbarcelona_;@alexborras;20
@adacolau;@;105
@putasindignadas;@s;151
@somcomuns;@xaviertrias;39
@dosmesdoscinc;@xaviertrias;10
@xaviertrias;@;164
@nouscatalans;@convergenciacat;11
@ginatost;@ecommtech_bcn;10
@ginatost;@xaviertrias;10
@ecommtech_bcn;@miguelvicente_;13
